maintenance_id,equipment_id,building_id,maintenance_date,maintenance_type,work_order_status,downtime_hours,cost_vnd,technician_team,data_origin
MT00480,EQ01761,BLD111,2025-10-01,Corrective,Completed,11.5,19050000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00481,EQ01514,BLD096,2025-06-06,Inspection,Completed,11.1,3300000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00482,EQ01648,BLD104,2026-02-28,Inspection,Completed,8.5,6100000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00483,EQ01351,BLD086,2025-09-07,Corrective,Completed,3.8,16900000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00484,EQ00048,BLD003,2025-01-01,Corrective,Completed,9.0,1400000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00485,EQ00912,BLD058,2025-06-27,Corrective,In Progress,10.6,7950000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00486,EQ00592,BLD038,2025-05-16,Cleaning,Open,9.6,650000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00487,EQ00044,BLD003,2025-02-16,Corrective,In Progress,2.3,21500000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00488,EQ01374,BLD088,2026-03-09,Calibration,Completed,5.2,9350000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00489,EQ00886,BLD057,2025-01-16,Calibration,Open,9.4,9000000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00490,EQ00349,BLD023,2025-12-26,Preventive,Open,1.8,21300000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00491,EQ01124,BLD072,2026-07-26,Corrective,Completed,1.8,9000000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00492,EQ01870,BLD117,2025-12-29,Preventive,Completed,6.7,1300000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00493,EQ01888,BLD119,2026-06-29,Calibration,Open,5.8,12150000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00494,EQ00347,BLD022,2026-04-05,Corrective,Completed,9.3,800000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00495,EQ01809,BLD114,2026-03-25,Inspection,Completed,1.6,21600000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00496,EQ00656,BLD043,2025-02-19,Calibration,In Progress,11.4,13850000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00497,EQ01533,BLD097,2025-02-22,Calibration,Completed,5.3,20450000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00498,EQ01429,BLD091,2026-05-29,Calibration,Completed,0.8,21300000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00499,EQ00396,BLD026,2026-09-01,Cleaning,Completed,5.2,13950000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00500,EQ01834,BLD115,2025-08-21,Cleaning,Completed,5.2,22300000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00501,EQ01511,BLD096,2025-10-09,Cleaning,Completed,2.9,20900000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00502,EQ01415,BLD090,2026-08-16,Corrective,Open,10.7,3600000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00503,EQ01803,BLD114,2025-08-12,Preventive,Completed,3.5,5400000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00504,EQ00358,BLD024,2026-04-22,Inspection,In Progress,9.1,20000000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00505,EQ00841,BLD054,2025-10-11,Preventive,Open,0.8,14100000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00506,EQ00049,BLD004,2025-10-29,Corrective,Completed,11.5,4650000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00507,EQ00393,BLD026,2025-01-29,Corrective,Completed,10.8,16100000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00508,EQ00989,BLD063,2025-11-14,Preventive,In Progress,9.8,4850000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00509,EQ00486,BLD031,2025-08-16,Cleaning,Completed,2.8,19600000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00510,EQ00159,BLD011,2025-01-02,Corrective,Completed,7.6,10400000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00511,EQ01359,BLD087,2026-05-31,Calibration,Completed,5.4,20150000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00512,EQ01820,BLD115,2025-08-13,Preventive,Completed,0.2,16850000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00513,EQ01176,BLD076,2025-03-04,Inspection,In Progress,3.1,15250000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00514,EQ00888,BLD057,2025-04-14,Cleaning,Completed,10.0,8150000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00515,EQ00371,BLD024,2026-08-04,Preventive,Open,1.2,12100000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00516,EQ01105,BLD071,2025-07-15,Preventive,Completed,10.1,10450000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00517,EQ01125,BLD072,2026-07-11,Calibration,Open,8.2,14950000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00518,EQ00494,BLD032,2025-06-11,Corrective,Completed,9.8,4900000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00519,EQ00405,BLD027,2025-10-12,Preventive,In Progress,1.8,2800000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00520,EQ00171,BLD012,2025-04-15,Cleaning,Open,7.2,5800000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00521,EQ00694,BLD045,2026-01-08,Corrective,Open,10.5,12500000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00522,EQ00323,BLD021,2026-05-21,Inspection,Completed,5.9,15850000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00523,EQ00302,BLD020,2026-02-28,Preventive,Completed,8.6,4450000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00524,EQ00797,BLD052,2026-08-10,Inspection,Open,8.1,8550000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00525,EQ01485,BLD094,2025-03-21,Cleaning,Completed,0.0,9950000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00526,EQ01181,BLD076,2026-02-02,Cleaning,Open,9.8,20250000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00527,EQ01582,BLD100,2026-07-19,Inspection,Open,3.3,4300000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00528,EQ00212,BLD015,2025-03-12,Preventive,In Progress,6.1,11300000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00529,EQ01534,BLD097,2026-08-26,Corrective,Open,9.4,5050000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00530,EQ01686,BLD107,2025-07-23,Cleaning,Completed,2.9,17050000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00531,EQ01033,BLD066,2026-05-04,Corrective,In Progress,7.4,8900000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00532,EQ00706,BLD046,2025-06-09,Cleaning,Open,4.4,8150000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00533,EQ01547,BLD098,2025-02-07,Cleaning,Open,6.8,8150000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00534,EQ00416,BLD028,2026-05-03,Calibration,In Progress,7.9,16300000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00535,EQ01551,BLD098,2026-06-01,Calibration,Open,6.2,16500000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00536,EQ01828,BLD115,2025-05-01,Calibration,Completed,1.5,4300000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00537,EQ00420,BLD028,2025-10-09,Cleaning,Completed,7.2,13100000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00538,EQ00960,BLD061,2025-03-28,Preventive,Completed,4.7,18000000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00539,EQ00001,BLD001,2026-02-05,Calibration,Completed,5.3,1850000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00540,EQ00475,BLD030,2025-01-25,Inspection,Completed,7.2,8650000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00541,EQ01115,BLD071,2025-01-04,Corrective,Completed,11.8,17900000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00542,EQ01396,BLD089,2026-07-30,Inspection,Open,3.8,10750000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00543,EQ01897,BLD119,2025-11-11,Calibration,Open,8.8,11400000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00544,EQ00128,BLD009,2025-08-08,Corrective,Completed,1.6,8450000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00545,EQ00257,BLD017,2026-04-04,Calibration,Completed,0.6,350000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00546,EQ00546,BLD036,2025-05-02,Calibration,Completed,1.7,14150000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00547,EQ00053,BLD004,2025-01-01,Cleaning,In Progress,4.0,5600000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00548,EQ01441,BLD092,2025-11-22,Inspection,Completed,6.0,13600000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00549,EQ00028,BLD002,2026-08-14,Inspection,Completed,3.5,24650000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00550,EQ01363,BLD087,2025-11-08,Calibration,Completed,10.8,21600000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00551,EQ00859,BLD056,2026-03-31,Cleaning,Completed,8.3,4050000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00552,EQ00165,BLD012,2025-11-26,Calibration,Completed,4.3,3900000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00553,EQ01448,BLD092,2026-04-30,Corrective,In Progress,6.0,23850000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00554,EQ01032,BLD066,2025-11-21,Preventive,Open,10.0,10450000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00555,EQ01581,BLD100,2026-03-11,Preventive,Completed,0.3,15900000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00556,EQ01329,BLD085,2025-06-24,Inspection,Completed,9.9,16300000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00557,EQ01759,BLD111,2025-10-10,Cleaning,Completed,8.6,24350000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00558,EQ00654,BLD043,2025-09-23,Inspection,Completed,8.0,10150000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00559,EQ01397,BLD089,2025-12-23,Inspection,Open,9.2,21400000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00560,EQ00200,BLD014,2025-04-19,Preventive,Completed,0.5,9600000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00561,EQ00006,BLD001,2025-08-31,Preventive,Completed,8.7,11750000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00562,EQ00585,BLD038,2025-06-14,Cleaning,Completed,4.9,3500000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00563,EQ01184,BLD076,2025-09-21,Inspection,Completed,9.8,7250000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00564,EQ00688,BLD044,2025-01-22,Corrective,In Progress,8.0,19650000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00565,EQ01024,BLD065,2026-08-07,Cleaning,Completed,10.3,18150000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00566,EQ00894,BLD058,2025-12-09,Corrective,In Progress,6.8,20250000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00567,EQ01861,BLD117,2026-03-28,Calibration,Completed,2.7,5100000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00568,EQ01215,BLD078,2025-01-15,Cleaning,Completed,3.3,19700000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00569,EQ00680,BLD044,2025-05-26,Calibration,Completed,11.3,12650000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00570,EQ01458,BLD093,2025-09-11,Cleaning,Completed,9.1,2150000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00571,EQ01823,BLD115,2026-07-07,Corrective,In Progress,6.7,24750000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00572,EQ00129,BLD009,2025-09-26,Cleaning,Completed,8.9,10750000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00573,EQ01499,BLD095,2026-07-20,Preventive,Completed,1.5,8800000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00574,EQ01059,BLD068,2026-05-16,Preventive,Completed,3.0,7700000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00575,EQ00500,BLD032,2025-12-08,Preventive,Completed,3.2,1450000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00576,EQ00043,BLD003,2026-04-12,Preventive,Open,0.7,13950000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00577,EQ01390,BLD088,2026-04-10,Corrective,Completed,1.6,6650000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00578,EQ00822,BLD053,2025-02-24,Corrective,Open,5.6,800000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00579,EQ01442,BLD092,2025-12-17,Calibration,Completed,5.4,23150000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00580,EQ00404,BLD027,2025-09-26,Preventive,Open,10.6,750000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00581,EQ00595,BLD038,2025-06-17,Calibration,Completed,11.8,6800000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00582,EQ01190,BLD077,2025-09-26,Preventive,Completed,10.1,9100000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00583,EQ00817,BLD053,2026-07-20,Corrective,Open,4.9,8200000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00584,EQ00343,BLD022,2026-08-03,Corrective,In Progress,4.1,1550000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00585,EQ01243,BLD080,2026-05-30,Cleaning,Completed,2.4,21700000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00586,EQ00748,BLD048,2026-08-23,Calibration,Completed,3.0,5150000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00587,EQ01267,BLD081,2025-09-15,Corrective,Completed,1.0,12400000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00588,EQ00675,BLD044,2026-01-27,Cleaning,Completed,4.1,3850000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00589,EQ00281,BLD019,2025-01-20,Inspection,In Progress,10.1,10150000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00590,EQ01291,BLD083,2025-06-20,Calibration,Completed,4.7,1550000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00591,EQ01894,BLD119,2026-06-26,Calibration,In Progress,5.6,14950000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00592,EQ01650,BLD105,2025-07-18,Inspection,Completed,1.6,900000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00593,EQ00152,BLD011,2025-06-14,Corrective,Completed,2.9,10500000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00594,EQ01713,BLD109,2025-01-16,Inspection,Open,5.7,6150000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00595,EQ00105,BLD007,2026-09-13,Calibration,In Progress,7.8,24750000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00596,EQ00955,BLD061,2026-03-09,Corrective,Completed,3.8,19150000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00597,EQ01065,BLD068,2026-03-27,Inspection,Completed,10.0,9600000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00598,EQ00347,BLD022,2025-11-29,Inspection,Completed,10.1,6550000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00599,EQ01054,BLD068,2025-09-03,Corrective,Completed,1.3,7900000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00600,EQ00433,BLD028,2026-02-21,Inspection,Completed,0.4,4050000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00601,EQ01603,BLD102,2026-05-31,Preventive,Completed,11.8,8150000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00602,EQ00327,BLD021,2025-03-24,Preventive,Open,5.9,10950000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00603,EQ01314,BLD084,2025-02-15,Corrective,Completed,7.5,23750000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00604,EQ01184,BLD076,2025-10-27,Inspection,Open,6.8,4050000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00605,EQ00450,BLD029,2026-06-10,Cleaning,Completed,5.8,14350000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00606,EQ01421,BLD091,2025-07-29,Corrective,Completed,4.5,19050000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00607,EQ01322,BLD084,2026-02-22,Calibration,Completed,8.3,23900000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00608,EQ00271,BLD018,2025-11-09,Calibration,Open,10.6,20500000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00609,EQ00096,BLD006,2025-09-16,Inspection,In Progress,4.5,6150000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00610,EQ00376,BLD025,2025-06-20,Inspection,Completed,4.4,950000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00611,EQ00783,BLD050,2026-05-07,Cleaning,Completed,2.6,9300000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00612,EQ00612,BLD039,2025-06-04,Cleaning,Open,2.0,23900000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00613,EQ00861,BLD056,2026-07-10,Calibration,Completed,8.9,22400000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00614,EQ00469,BLD030,2025-07-23,Inspection,Completed,8.2,8450000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00615,EQ00051,BLD004,2025-11-14,Inspection,In Progress,10.9,10300000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00616,EQ01601,BLD102,2025-01-10,Corrective,Completed,8.7,2050000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00617,EQ00178,BLD013,2025-11-05,Cleaning,Completed,3.4,13900000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00618,EQ00992,BLD063,2025-10-10,Inspection,Completed,2.5,400000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00619,EQ00872,BLD056,2025-10-24,Corrective,Open,4.2,850000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00620,EQ00236,BLD016,2026-01-20,Cleaning,Completed,2.9,15950000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00621,EQ01409,BLD090,2025-10-04,Preventive,Completed,6.4,24050000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00622,EQ00603,BLD039,2025-12-28,Cleaning,Completed,6.0,10850000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00623,EQ01470,BLD093,2025-03-23,Inspection,Completed,8.9,6550000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00624,EQ01280,BLD082,2025-09-05,Preventive,In Progress,7.7,19700000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00625,EQ00677,BLD044,2025-10-27,Inspection,Open,8.6,4700000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00626,EQ00597,BLD038,2026-06-04,Preventive,Completed,3.0,3250000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00627,EQ00511,BLD033,2025-04-07,Preventive,Open,11.0,12200000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00628,EQ01557,BLD099,2025-12-03,Cleaning,Completed,0.4,5200000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00629,EQ01091,BLD070,2026-08-16,Preventive,Completed,10.2,15500000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00630,EQ00828,BLD054,2026-07-24,Calibration,Open,5.0,11900000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00631,EQ00370,BLD024,2026-03-12,Preventive,Completed,2.0,21200000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00632,EQ01911,BLD120,2026-07-12,Calibration,Completed,8.9,11050000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00633,EQ00299,BLD020,2025-08-17,Calibration,Open,7.0,18200000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00634,EQ00659,BLD043,2025-07-07,Corrective,Completed,0.4,14600000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00635,EQ01818,BLD115,2025-09-20,Calibration,Open,11.3,3950000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00636,EQ01436,BLD092,2026-07-12,Corrective,Open,10.8,24750000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00637,EQ00555,BLD036,2025-12-17,Corrective,Completed,2.3,12700000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00638,EQ01167,BLD075,2025-02-12,Corrective,Completed,7.2,7000000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00639,EQ01423,BLD091,2026-04-19,Inspection,Completed,0.1,3150000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00640,EQ01273,BLD082,2025-01-29,Preventive,Completed,7.0,750000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00641,EQ00482,BLD031,2025-09-26,Corrective,Completed,7.4,5600000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00642,EQ00083,BLD006,2025-11-02,Cleaning,Completed,11.4,4850000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00643,EQ00886,BLD057,2026-05-05,Corrective,In Progress,9.6,1450000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00644,EQ01362,BLD087,2026-06-16,Calibration,Open,10.8,15900000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00645,EQ01129,BLD073,2025-05-24,Calibration,Completed,11.7,4500000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00646,EQ00873,BLD057,2025-05-01,Preventive,In Progress,10.3,4450000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00647,EQ00391,BLD026,2025-11-29,Calibration,In Progress,3.8,6600000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00648,EQ00151,BLD011,2025-05-20,Cleaning,Completed,2.8,8100000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00649,EQ00909,BLD058,2025-01-27,Calibration,Completed,2.9,1700000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00650,EQ01701,BLD108,2025-07-13,Preventive,Open,3.3,14650000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00651,EQ00243,BLD016,2025-02-21,Inspection,In Progress,8.4,10000000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00652,EQ01175,BLD076,2025-11-09,Preventive,Completed,2.4,9050000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00653,EQ01332,BLD085,2025-02-22,Inspection,Open,4.7,22200000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00654,EQ01426,BLD091,2025-02-12,Corrective,In Progress,10.6,22250000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00655,EQ01634,BLD104,2025-05-24,Corrective,Completed,6.8,13950000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00656,EQ01419,BLD090,2026-04-22,Preventive,Open,7.6,18800000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00657,EQ00938,BLD060,2025-12-17,Inspection,Completed,2.7,5900000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00658,EQ01571,BLD099,2025-01-21,Inspection,Completed,2.7,2300000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00659,EQ01280,BLD082,2025-09-26,Preventive,Completed,3.0,15550000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00660,EQ01720,BLD109,2025-06-13,Corrective,Completed,0.6,13750000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00661,EQ01523,BLD097,2026-07-29,Preventive,Completed,8.3,18250000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00662,EQ01908,BLD120,2025-06-04,Inspection,Completed,7.3,7400000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00663,EQ01918,BLD120,2026-08-09,Inspection,Completed,10.0,12950000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00664,EQ00809,BLD053,2026-05-16,Corrective,Open,0.4,17400000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00665,EQ01762,BLD111,2025-09-10,Corrective,Completed,0.8,19950000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00666,EQ00924,BLD059,2025-11-28,Cleaning,In Progress,0.6,7150000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00667,EQ00490,BLD031,2025-06-23,Inspection,Open,2.3,10800000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00668,EQ01209,BLD078,2025-08-07,Inspection,Completed,9.5,10400000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00669,EQ00426,BLD028,2026-02-23,Corrective,In Progress,10.1,17000000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00670,EQ01693,BLD108,2026-03-23,Cleaning,Completed,8.3,3200000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00671,EQ01214,BLD078,2026-08-04,Cleaning,In Progress,5.2,23700000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00672,EQ01298,BLD083,2026-01-21,Preventive,Open,3.8,20150000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00673,EQ00654,BLD043,2026-02-08,Calibration,Completed,10.1,6900000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00674,EQ00545,BLD035,2025-12-29,Cleaning,Open,3.6,15550000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00675,EQ00615,BLD040,2025-04-09,Preventive,In Progress,1.7,21050000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00676,EQ00672,BLD043,2025-06-30,Cleaning,In Progress,4.3,24150000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00677,EQ00148,BLD011,2025-03-15,Corrective,Completed,1.6,22350000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00678,EQ00244,BLD016,2025-06-04,Corrective,In Progress,5.2,8100000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00679,EQ01524,BLD097,2025-06-01,Corrective,Open,3.1,4750000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00680,EQ01353,BLD086,2025-10-18,Inspection,Completed,5.2,16150000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00681,EQ00881,BLD057,2025-06-30,Calibration,Completed,5.7,8650000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00682,EQ01554,BLD099,2025-08-06,Corrective,Completed,3.4,9250000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00683,EQ00474,BLD030,2025-06-26,Inspection,In Progress,5.9,20650000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00684,EQ00895,BLD058,2025-10-25,Calibration,Completed,4.7,17150000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00685,EQ01520,BLD097,2025-07-28,Calibration,In Progress,6.8,7050000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00686,EQ00173,BLD012,2025-03-06,Inspection,Completed,0.4,6900000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00687,EQ01809,BLD114,2025-07-03,Inspection,In Progress,11.5,13500000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
